country,ARIMA_MAE,ARIMA_RMSE,SARIMA_MAE,SARIMA_RMSE,SARIMAX_MAE,SARIMAX_RMSE,Prophet_MAE,Prophet_RMSE,LSTM_MAE,LSTM_RMSE
United States of America,2.1816058044716193,2.652467075116803,1.6295271023675326,1.9720718550492617,1.8176115642587334,1.914542779369519,,,2.7300737516654507,3.237117294769591
China,0.7440763927946286,0.8251677509805155,0.8530808112183212,0.9176001435045958,3.185216912862872,3.2470303996293666,,,1.4817781380107657,1.6704623426656977
United Kingdom,0.3552000177602004,0.41661489474965296,0.4999943958687254,0.5403439452643619,0.47830247057234665,0.5204855096144352,,,1.2835056202606623,1.375012112082636
Canada,1.730006910963624,1.923910821954667,0.0258437101115927,0.03200864194506428,317847807.36193776,334826616.77393806,,,2.015670133729799,2.188039620003306
Israel,1.9408292931112108,2.081423356557514,0.32071038500256854,0.37062881264203035,0.7593981914471382,0.7876993187487921,,,1.8851579154552205,2.0415867458831016
Singapore,0.2881994206436609,0.3268979338710181,0.0963013475110781,0.10918471280682432,0.5911669922210123,0.7640974116035332,,,1.7462578769630888,1.9814960213629798
South Korea,0.34817542879003227,0.3840364016783514,0.17838470863657285,0.2357415183931954,0.5143667164966281,0.5885469975565082,,,0.847386144066407,1.0363174644857036
The Netherlands,1.3588818591756784,1.588037811306529,0.23183925100861735,0.2635781952846938,1016909858.3044872,1378342078.2764516,,,1.4276331140344247,1.6781641957189024
Germany,0.25275266985785017,0.3660135537665266,0.5423442871948687,0.6562831660120969,0.5051377024085113,0.6291086615407879,,,1.0131025946174503,1.3262843612695157
France,2.2589817002108656,2.3275817335284845,0.34235850661606015,0.45233876734255796,1.1679288052652232,1.3803962413447473,,,2.415026670958243,2.503878803285914
Australia,1.5971991931659346,1.6932235051396358,0.20062751064843276,0.24367646896212405,65190.857620276875,68350.96718475278,,,3.8158536841830077,3.8601875257140907
Ireland,0.4564865909277591,0.5525636740243748,0.4787214365767074,0.5427445684807216,0.5055698932924102,0.6315464099174586,,,0.8173425034450235,1.0252961523642536
Finland,0.40958895253613736,0.5605184848866838,0.4169388924987789,0.5937271889558895,0.31007823793103206,0.4972295285501286,,,6.646455811421298,6.667642084026732
Denmark,0.36298603973654764,0.5142091327280078,0.3068653239313397,0.34044392900503356,0.48884540675969745,0.6456280468933495,,,1.0954413251933248,1.1252828685442204
Luxembourg,1.5358188784147053,1.6344515101665043,0.4050699958686712,0.44364563532997514,0.3909946037877834,0.4930035173405725,,,3.1572125168338765,3.2042021992482805
Japan,0.06346622968612348,0.09583297694227784,0.23768785572903894,0.3310674072994107,0.21359694675813934,0.28885936065450174,,,0.675610643766742,0.8108748917487121
India,1.3903392550716633,1.6622428229973158,0.5082184401243497,0.5705748121881954,0.4974069754005459,0.6753231717632545,,,1.3662015262624765,1.663338099067842
Switzerland,0.6579603406490744,0.678184231237616,0.47011350567324595,0.49923516440286037,0.3058203679962137,0.3433187519676432,,,3.7445892218019043,3.776467476206654
Sweden,1.5856217077018435,1.6536374601549313,0.2315696783677792,0.2768896014979579,0.7490926512640392,0.8095359756419673,,,0.8804875637306413,1.0076767541442868
Hong Kong,0.25798876635242074,0.34476537517130057,0.30757860363481093,0.36632493876546757,0.6774651477367266,0.7677005858419402,,,2.1668456428707863,2.2006147967697767
Spain,0.9264299237407387,1.0690418708701355,0.1711423728757726,0.18714866429965182,0.6435325964797975,0.6930403331269274,,,2.6368645835214464,2.687687543241058
Austria,0.25301384827463824,0.32928222853316097,0.3043048324028179,0.3954779949857695,0.33097150660529095,0.3849244690513374,,,2.9461143340932,2.9946199657989685
Estonia,0.6265027104942487,0.7070066469198443,0.2533892783074849,0.2586931880490852,0.30754758161588835,0.3531929261093555,,,1.35880817244698,1.4685259694455859
Taiwan,0.8612213823661694,1.002114179241019,0.22438430875675586,0.289792283862302,0.5076204779245259,0.5630158809913665,,,1.1762992108133714,1.365821648160572
Norway,1.0489540419717143,1.1772823181565517,0.2152063074410826,0.23583510700986812,0.14445558149391147,0.15115473796296663,,,0.8466653466173204,1.0159559653781631
Saudi Arabia,0.8461404348649451,0.9634438123632658,0.18947388558360778,0.1952740515003557,0.6806929303290454,0.760766965649245,,,2.1246918320834007,2.202204997164162
Belgium,0.16479855460190773,0.21482692500307568,0.13966075444853843,0.15851551792378468,0.29616156269751226,0.34392690774078377,,,2.4854171595966434,2.543330631513855
Poland,0.7220864707828483,0.8513439507396379,0.3015912007474464,0.3272249780588181,0.32188111442554934,0.4132675111154417,,,1.862871587029474,1.8929276178676404
Slovenia,1.365962760578352,1.485332762819397,0.1986565487383416,0.2386358504882748,0.29601841778650506,0.3460455553132779,,,1.0567839252141944,1.2331147200384367
New Zealand,0.21167402440187644,0.23269643455401648,0.2162153814968235,0.2403108948604015,0.4744154847352222,0.5095619095582892,,,0.2088163262681011,0.24676566584878568
Italy,1.1611122325093985,1.29242715952388,0.4076240447355284,0.42961907534672034,0.42206003183263086,0.5414785173120421,,,1.0074324791233975,1.1119018528606708
Russia,0.06482763009185977,0.08501569176721205,0.16510592440536964,0.18838760812001454,0.09282267092181673,0.12777404096517048,,,1.6615539457231803,1.7181057815708825
Malta,1.4822720737542392,1.5076476895495343,0.22900760949259702,0.2702135962764431,0.481963967725461,0.524466897807619,,,1.4462960804294314,1.4852313729423647
United Arab Emirates,0.358763635381397,0.4040491432503827,0.24414872929169285,0.2734954834728517,0.435543458793501,0.5316496215084439,,,1.5027697562962583,1.5542713477329109
Portugal,0.34163935291040115,0.34334151815969227,0.15483042567240624,0.2047718110627917,0.6925813311478342,0.7051929562850799,,,0.8563693739185538,0.9831253697828758
Czech Republic,0.24463493660476843,0.27539365098720175,0.20571759523467215,0.2795256824505146,110.99782348404379,141.90187721859851,,,3.8247480811257883,3.842813427024665
Iceland,0.27070762583019725,0.3020884294829401,0.16922498679746756,0.2244112231432371,0.46602794412877113,0.6457654772596609,,,1.908315262464507,1.9346236900720675
Lithuania,1.0129346860170507,1.0550770988472404,0.3297895146451095,0.3524478962824229,0.5532865083864511,0.631654126213784,,,2.1727830818670633,2.190722953892702
Brazil,0.7820728564064554,0.8436345583701677,0.29136794948712197,0.3066898673759173,0.4049913486784611,0.43707846118835186,,,2.035468188081281,2.059879492475539
Greece,0.11290385220987531,0.1286965405032664,0.11210657173583272,0.1343468785909777,0.1938634332707494,0.2347776333564281,,,1.890325455101327,1.930701609862647
Slovakia,0.17351861177121553,0.1920827815775737,0.07884933178697384,0.09145843247988544,0.16619006845662376,0.18865069494368647,,,2.5005154362893345,2.5282004821597277
Hungary,0.1987652630620822,0.2244379883853506,0.2221044190303374,0.24171246469087307,0.5770886924040024,0.6501733354605609,,,4.129641377012266,4.1534093210338385
Malaysia,0.3148737812402205,0.3487462255063735,0.2759713102553869,0.30516148762786893,0.5630549397439069,0.5888761792063397,,,3.333156133376538,3.3564842721536796
Mexico,0.08812500718662886,0.10300848730349906,0.18530937444317397,0.19575885485668082,0.1804968679859167,0.20628346824817126,,,1.536394456565593,1.580585801231576
Chile,0.20963586354214803,0.24567512367726405,0.22103383559715484,0.24985796184265838,0.1990999519645964,0.2399197853522681,,,0.497763928272402,0.651330466701543
Argentina,0.1826293600265405,0.1973683914767179,0.23314210082357523,0.2512504870889763,0.2550202231476524,0.29783648848510963,,,1.2112024712731806,1.2809261486417078
Qatar,0.21500544440806024,0.2800291072097223,0.17688433563466255,0.2222813162430827,0.35643001536883734,0.4582942009284297,,,5.327529722012498,5.34102106359046
Turkey,0.09702594325270075,0.1001393301572552,0.06261946039831656,0.06971070696694426,0.05189901378685624,0.06050264634144595,,,5.32386838727124,5.328367594017787
Colombia,0.08733054858052869,0.10960072870480911,0.07248862547342894,0.11364131255107478,0.09119373280824572,0.09286945647809318,,,0.6387968239030952,0.7037631377833726
Uruguay,0.3079061032422752,0.3680954637835151,0.04832112053008997,0.06401202926330427,0.17729428815757275,0.19392170582236565,,,3.076268012795653,3.083644508579998
Bahrain,0.47301680984512506,0.5149983366187322,0.1734662619174343,0.19518736006044873,0.7301327433456763,0.8883975214249061,,,3.305106855659139,3.3112080036188845
Vietnam,0.3966379708842007,0.4818069658229697,0.04450263843979174,0.07234943949664294,0.06267972169997282,0.0733125366304243,,,2.5629779922359175,2.5726150093842897
Indonesia,0.07161440153140397,0.11145186295750734,0.06915329289278782,0.09326870712668289,2025748017.2053394,2416246518.784971,,,0.9566835592339968,0.9622572172732773
