date,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Region,Cluster,Income group,Political regime,Total score,Country,value
2000-01-01,2.2446837245385716,1.7731238885954455,64.56,2.120444835592544,1.8139184424757244,77.39,1.5700257271925473,Americas,Power players,High,Liberal democracy,100.0,United States of America,100.0
2000-01-02,0.2801306040957957,2.178113256771121,91.57,2.0181096175958304,1.8139184424757244,94.87,1.5700257271925473,Asia-Pacific,Power players,Upper middle,Closed autocracy,62.92,China,62.92
2000-01-03,1.475092061782941,0.35727943238462223,74.65,1.1947100112280193,0.9371366027457705,82.82,1.566372784612748,Europe,Traditional champions,High,Liberal democracy,40.93,United Kingdom,40.93
2000-01-04,1.1264460515180454,0.6918850169051866,93.94,1.0009484933522397,0.9613453556045772,100.0,1.4202453442125909,Americas,Traditional champions,High,Liberal democracy,40.19,Canada,40.19
2000-01-05,1.3208762768976174,0.13519546687581216,82.44,1.0690251549267933,1.0282477095826132,43.91,1.5700257271925473,Middle East,Rising stars,High,Liberal democracy,39.89,Israel,39.89
2000-01-06,1.4647726187712302,1.1411341382327789,43.15,1.230681408220402,0.8521204236863437,79.82,1.428230384727711,Asia-Pacific,Rising stars,High,Electoral democracy,38.67,Singapore,38.67
2000-01-07,0.12743745254206246,1.200154981076971,68.86,0.8505634486854833,1.8139184424757244,87.5,0.6982850412085199,Asia-Pacific,Rising stars,High,Liberal democracy,38.6,South Korea,38.6
2000-01-08,1.2395401478966572,0.9958905521557805,88.05,0.8054896875362921,1.0913903006668835,62.35,0.6310823260629997,Europe,Rising stars,High,Liberal democracy,36.35,The Netherlands,36.35
2000-01-09,0.9516372662853705,0.702195024298528,70.22,1.1740250578285207,0.9292508223463565,84.65,1.022340210980222,Europe,Traditional champions,High,Liberal democracy,36.04,Germany,36.04
2000-01-10,0.9859776045362504,0.6979484037242062,80.02,0.8030328520732413,0.8112993638128153,91.2,0.9633253708910862,Europe,Traditional champions,High,Liberal democracy,34.42,France,34.42
2000-01-11,0.8376065406300961,-0.09747602822285802,61.23,1.0690251549267933,1.353314441025665,82.11,0.8660896598760874,Asia-Pacific,Rising stars,High,Liberal democracy,33.86,Australia,33.86
2000-01-12,1.0636968530174389,1.4751082844562609,70.15,0.388815060550887,1.109970931111029,69.44,0.44348118447982776,Europe,Rising stars,High,Liberal democracy,33.04,Ireland,33.04
2000-01-13,0.8139091639408284,0.36722125803987826,78.76,0.7919222836813107,0.685443453116071,85.99,0.5760927671160047,Europe,Rising stars,High,Liberal democracy,31.36,Finland,31.36
2000-01-14,0.9232844214353277,0.5135382689375744,85.39,0.8245843957942485,0.138011972807078,74.23,0.3367781827595877,Europe,Rising stars,High,Liberal democracy,30.87,Denmark,30.87
2000-01-15,0.6234998860509487,1.830622538646833,66.96,0.5270095244072392,0.7534035466521645,66.69,0.5829885867153219,Europe,Waking up,High,Liberal democracy,30.73,Luxembourg,30.73
2000-01-16,0.17863620622106308,1.1588710378580798,57.53,0.6755176671970141,1.2029983410777974,71.96,0.9294997652005881,Asia-Pacific,Rising stars,High,Liberal democracy,30.53,Japan,30.53
